model,task,value
gpt-oss:20b,prob_A_given_not_B,0.3
gpt-oss:20b,prob_A_given_not_B,0.3
gpt-oss:20b,prob_A_given_not_B,0.6
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.3
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.18
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.2
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.68
gpt-oss:20b,prob_A_given_not_B,0.3
gpt-oss:20b,prob_A_given_not_B,0.65
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.6
gpt-oss:20b,prob_A_given_not_B,0.6
gpt-oss:20b,prob_A_given_not_B,0.25
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.65
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.65
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.45
gpt-oss:20b,prob_A_given_not_B,0.65
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.65
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.7
gpt-oss:20b,prob_A_given_not_B,0.6
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.2
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.25
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.45
gpt-oss:20b,prob_A_given_not_B,0.7
gpt-oss:20b,prob_A_given_not_B,0.65
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.58
gpt-oss:20b,prob_A_given_not_B,0.6
gpt-oss:20b,prob_A_given_not_B,0.25
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.25
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.75
gpt-oss:20b,prob_A_given_not_B,0.6
gpt-oss:20b,prob_A_given_not_B,0.6
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.6
gpt-oss:20b,prob_A_given_not_B,0.7
gpt-oss:20b,prob_A_given_not_B,0.65
gpt-oss:20b,prob_A_given_not_B,0.5
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.42
gpt-oss:20b,prob_A_given_not_B,0.7
gpt-oss:20b,prob_A_given_not_B,0.65
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.25
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.45
gpt-oss:20b,prob_A_given_not_B,0.3
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.65
gpt-oss:20b,prob_A_given_not_B,0.3
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.4
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.75
gpt-oss:20b,prob_A_given_not_B,0.7
gpt-oss:20b,prob_A_given_not_B,0.45
gpt-oss:20b,prob_A_given_not_B,0.35
gpt-oss:20b,prob_A_given_not_B,0.7
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.45
gpt-oss:20b,prob_A_given_not_B,0.55
gpt-oss:20b,prob_A_given_not_B,0.15
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.8
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.9
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.9
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.9
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.7
gpt-oss:20b,social,0.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.9
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.7
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.8
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.0
gpt-oss:20b,social,0.5
gpt-oss:20b,social,0.7
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.8
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.9
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.97
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.95
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.95
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.99
gpt-oss:20b,social,0.99
gpt-oss:20b,social,1.0
gpt-oss:20b,social,0.9
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.58
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.57
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.58
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.58
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.545
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.57
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.52
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.58
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.58
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.58
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.58
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.55
gpt-oss:20b,dynamics,0.69
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.6
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.6
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.69
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.6
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.69
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.6
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.6
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.68
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,dynamics,0.65
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.25
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.0
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.25
gpt-oss:20b,conjunction_fallacy,0.1
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.0
gpt-oss:20b,conjunction_fallacy,0.01
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.1
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.25
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.25
gpt-oss:20b,conjunction_fallacy,0.0
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.0
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.25
gpt-oss:20b,conjunction_fallacy,0.1
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.25
gpt-oss:20b,conjunction_fallacy,0.0
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.1
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.0
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.25
gpt-oss:20b,conjunction_fallacy,0.25
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.1
gpt-oss:20b,conjunction_fallacy,0.25
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.0
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.1
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.1
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.1
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.1
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.2
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.4
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,conjunction_fallacy,0.3
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.09
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,1.0
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.05
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
gpt-oss:20b,base_rate_neglect,0.01
phi4:14b,ambiguity,0.7
phi4:14b,ambiguity,0.5
phi4:14b,ambiguity,0.6
phi4:14b,ambiguity,0.4
